"Drug_Name","Sources_Count","All_Source_Papers","Mechanism_Pathway","Indication","Drug_Action","SMILES","Reference_DOIs"
"indocyanine green","1","Thakkar 2020 (DILIst)","Fluorescent dye / Non-specific protein binding","Hepatic function and cardiac output testing","Diagnostic agent","CC1(C2=CC=CC=C2N(C1=CC=CC=CC=CC=C3C(C4=CC=CC=C4N3CCCCC(=O)O)(C)C)CCCCC(=O)O)C","10.1016/j.drudis.2019.09.022"
"iothalamate sodium","1","Thakkar 2020 (DILIst)","Radiopaque contrast agent","Radiographic imaging","Contrast media","CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)C(=O)NC)I.[Na+]","10.1016/j.drudis.2019.09.022"
"ioversol","1","Chen 2016 (DILIrank)","Radiopaque contrast agent","Radiographic imaging","Contrast media","C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)N(CCO)C(=O)C)I","10.1016/j.drudis.2016.02.015"
"lanthanum carbonate","1","Chen 2016 (DILIrank)","Phosphate binder","Hyperphosphatemia in CKD","Phosphate binding agent","C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3]","10.1016/j.drudis.2016.02.015"
"nesiritide","1","Chen 2016 (DILIrank)","Natriuretic peptide receptor agonist","Acute decompensated heart failure","Vasodilator","N/A (Recombinant human B-type natriuretic peptide)","10.1016/j.drudis.2016.02.015"
"pancrelipase","1","Hoofnagle 2013 (LiverTox E)","Digestive enzyme replacement","Exocrine pancreatic insufficiency","Digestive enzyme","N/A (Complex protein mixture)","10.1002/hep.26175"
"pramlintide","1","Chen 2016 (DILIrank)","Amylin receptor agonist","Type 1 & 2 diabetes","Antihyperglycemic","N/A (Synthetic analog of human amylin)","10.1016/j.drudis.2016.02.015"
"protamine sulfate","1","Hoofnagle 2013 (LiverTox E)","Heparin antagonist","Heparin reversal","Antidote","N/A (Cationic peptide mixture)","10.1002/hep.26175"
"protirelin","1","Thakkar 2020 (DILIst)","TSH releasing hormone analog","Thyroid function diagnosis","Diagnostic agent","C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N","10.1016/j.drudis.2019.09.022"
"secretin","1","Greene 2010","Secretin receptor agonist","Pancreatic function diagnosis","Diagnostic agent","CC(C)CC(C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C(C)C)C(=O)N)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CC5=CN=CN5)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC6=CN=CN6)N","10.1021/tx1000865"
"sincalide","1","Thakkar 2020 (DILIst)","CCK receptor agonist","Gallbladder stimulation","Diagnostic agent","CSCCC(C(=O)NC(CC1=CC=CC=C1)C(=O)N)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)N","10.1016/j.drudis.2019.09.022"
"sodium lactate","1","Thakkar 2020 (DILIst)","Alkalinizing agent","Metabolic acidosis","Fluid replenisher","CC(C(=O)[O-])O.[Na+]","10.1016/j.drudis.2019.09.022"
"sodium thiosulfate","1","Chen 2016 (DILIrank)","Cyanide antidote","Cyanide poisoning","Antidote","O=S(=O)([O-])S.[Na+].[Na+]","10.1016/j.drudis.2016.02.015"
"thyrotropin alfa","1","Hoofnagle 2013 (LiverTox E)","TSH receptor agonist","Thyroid cancer diagnostic","Diagnostic agent","N/A (Recombinant human TSH glycoprotein)","10.1002/hep.26175"
"trientine","1","Chen 2016 (DILIrank)","Copper chelator","Wilson's disease","Chelating agent","C(CNCCNCCN)N","10.1016/j.drudis.2016.02.015"
